fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-09-01,Itaú Corpbanca,,57.37909819742867,42.62090180257134,0.6961163581009188,12.345477944311826
2016-09-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-09-01,Rabobank Chile,,100.0,0.0,0.5015686425143406,1.6093811749806557
2016-09-01,Scotiabank Chile,,46.317172266483794,53.68282773351621,0.9532885870893815,21.38539739456162
2016-09-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.1210506980203947,
2016-10-01,Banco BTG Pactual Chile,,100.0,0.0,0.2602280472082274,0.0
2016-10-01,Banco Bice,,75.9115451658136,24.08845483418639,0.6302814873299742,6.3150309530236095
2016-10-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.475992562660984,55.524007437339016,0.8124077686022465,7.997590741925991
2016-10-01,Banco Consorcio,,91.02562130119881,8.974378698801189,0.8426887390540874,9.292951585444193
2016-10-01,Banco Falabella,,1.3196196459543074e-10,99.99999999986804,3.3792869035193593,
2016-10-01,Banco Internacional,,96.2450506151498,3.7549493848502014,1.017270038857379,2.899939584418091
2016-10-01,Banco Paris,,0.0,100.0,0.1981707331100235,
2016-10-01,Banco Penta,,100.0,0.0,1.6592892994475184,0.0
2016-10-01,Banco Ripley,,0.0,100.0,3.88628407010424,
2016-10-01,Banco Santander-Chile,,42.26453224025221,57.735467759747785,1.1491797811247353,7.368396006580916
2016-10-01,Banco Security,,72.64168304278415,27.35831695721585,0.7237453887884443,1.4627602403337527
2016-10-01,Banco de Chile,,48.988891586400825,51.011108413599175,1.1990574506055391,16.95203977891595
2016-10-01,Banco de Crédito e Inversiones,,48.760253246700266,51.23974675329974,0.4752834324750141,8.15675524129444
2016-10-01,Banco de la Nación Argentina,,98.96919649918553,1.0308035008144742,0.8522607730175022,2.7952831550728514
2016-10-01,Banco del Estado de Chile,,39.010431658264196,60.98956834173581,1.2224641792795812,7.3224659068706535
2016-10-01,Banco do Brasil S.A.,,100.0,0.0,2.510895583724914,14.241086677345216
2016-10-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,0.8565432614387133,
2016-10-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-10-01,HSBC Bank (Chile),,99.94552655833893,0.05447344166107424,2.9916483272138086,10.101309255777178
