fecha,banco,indice_total,indice_comercial,indice_consumo,indice_vivienda
2024-02-01,Banco Ripley,9.804311885209895,9.804311885209895,9.054278190338511,9.805492419141974
2024-02-01,Banco Santander-Chile,2.7922909480855607,2.7923869490440296,3.595615129543258,2.1046602816015305
2024-02-01,Banco Security,2.8247075244294444,2.8247075244294444,3.1207268853784074,1.7819914444454095
2024-02-01,Banco de Chile,2.0320059380639957,2.0486704890850653,1.8568578283962307,2.2695788121380764
2024-02-01,Banco de Crédito e Inversiones,1.984919295122074,2.023698383133958,1.9368224736404343,2.1452675110664137
2024-02-01,Banco del Estado de Chile,3.6387566219212264,3.7322135673804087,4.675732425855388,2.8134189766952176
2024-02-01,Banco do Brasil S.A.,,,,
2024-02-01,"Bank of China, Agencia en Chile",0.21874999672253534,0.21874999672253534,0.21874999672253534,
2024-02-01,"China Construction Bank, Agencia en Chile",7.772547899097384,7.772547899097384,7.772547899097384,
2024-02-01,HSBC Bank (Chile),3.6456917208912683,4.120663598927377,4.12089618671889,0.40000142563570756
2024-02-01,"JP Morgan Chase Bank, N.A.",0.7500918413986724,0.7500918413986724,0.7500918413986724,
2024-02-01,Scotiabank Chile,1.6394957853442742,1.6396198561934552,2.0939654165310797,1.1866985996010815
2024-03-01,Banco BTG Pactual Chile,1.4269513595696413,1.4269513595696413,1.4269513595696413,
2024-03-01,Banco Bice,1.2863774359070685,1.2863774359070685,1.5685631485001024,0.4311793290934565
2024-03-01,Banco Consorcio,1.931426485467759,1.931426485467759,2.655988563229651,0.5479835415221387
2024-03-01,Banco Falabella,5.737335355847796,5.737335355847796,4.753835579540267,5.791698821166932
2024-03-01,Banco Internacional,1.9899271519923074,1.9899271519923074,1.9950430210488257,1.8856394829161238
2024-03-01,Banco Itaú Chile,2.7675269797062163,2.7811248842527045,2.737182309526104,2.8418696842556175
2024-03-01,Banco Ripley,9.806823659314386,9.806823659314386,9.190526931576024,9.80778386071068
2024-03-01,Banco Santander-Chile,2.7930354673405473,2.793118415272491,3.571859165600142,2.1296665369838137
2024-03-01,Banco Security,2.861575411991483,2.861575411991483,3.171531368874541,1.7893980254220958
2024-03-01,Banco de Chile,2.0270751463050756,2.0470776504222266,1.8653405592899783,2.253576934113214
2024-03-01,Banco de Crédito e Inversiones,1.9985412175071802,2.0411696551789404,1.973788381255163,2.135353463342344
2024-03-01,Banco del Estado de Chile,3.6124727248103103,3.7079838981899824,4.690160588665124,2.7568827767052935
2024-03-01,Banco do Brasil S.A.,,,,
2024-03-01,"Bank of China, Agencia en Chile",0.21874999594689928,0.21874999594689928,0.21874999594689928,
2024-03-01,"China Construction Bank, Agencia en Chile",7.929245652120363,7.929245652120363,7.929245652120363,
2024-03-01,HSBC Bank (Chile),3.925058354770803,4.545839810023035,4.5461224207216215,0.40000364203761213
2024-03-01,"JP Morgan Chase Bank, N.A.",3.5435668640113915,3.5435668640113915,3.5435668640113915,
